Word,Definition,Correct,Attempts
得,dé,0.0,0.0
吧,ba,0.0,0.0
话,huà,0.0,0.0
钱,qián,0.0,0.0
开,kāi,0.0,0.0
岁,suì,0.0,0.0
吃,chī,0.0,0.0
身,shēn,0.0,0.0
重,zhòng,0.0,0.0
爱,ài,0.0,0.0
国,guó,0.0,0.0
买,mǎi,1.0,1.0
号,hào,0.0,0.0
喜,xǐ,0.0,0.0
欢,huān,0.0,0.0
怎,zěn,0.0,0.0
分,fēn,0.0,0.0
谁,shuí,0.0,0.0
告,gào,0.0,0.0
诉,sù,0.0,0.0
样,yàng,0.0,0.0
方,fāng,0.0,0.0
十,shí,0.0,0.0
见,jiàn,0.0,0.0
六,liù,0.0,0.0
问,wèn,0.0,0.0
叫,jiào,0.0,1.0
回,huí,0.0,0.0
正,zhèng,0.0,0.0
快,kuài,0.0,0.0
住,zhù,0.0,0.0
请,qǐng,0.0,0.0
水,shuǐ,0.0,0.0
东,dōng,0.0,0.0
西,xī,0.0,0.0
听,tīng,0.0,0.0
老,lǎo,0.0,0.0
机,jī,0.0,0.0
电,diàn,0.0,0.0
行,xíng,0.0,0.0
朋,péng,0.0,0.0
友,yǒu,0.0,0.0
拿,ná,0.0,0.0
路,lù,0.0,0.0
外,wài,0.0,0.0
放,fàng,0.0,0.0
学,xué,0.0,0.0
校,xiào,0.0,0.0
别,bié,0.0,0.0
站,zhàn,0.0,0.0
准,zhǔn,0.0,0.0
备,bèi,0.0,0.0
元,yuán,0.0,0.0
进,jìn,0.0,0.0
写,xiě,0.0,0.0
先,xiān,0.0,0.0
您,nín,0.0,0.0
女,nǚ,0.0,0.0
生,shēng,0.0,0.0
门,mén,0.0,0.0
八,bā,0.0,0.0
七,qī,0.0,0.0
送,sòng,0.0,0.0
花,huā,0.0,0.0
第,dì,0.0,0.0
块,kuài,0.0,0.0
坐,zuò,0.0,0.0
影,yǐng,0.0,0.0
昨,zuó,0.0,0.0
笑,xiào,0.0,0.0
介,jiè,0.0,0.0
绍,shào,0.0,0.0
书,shū,0.0,0.0
少,shǎo,0.0,0.0
楼,lóu,0.0,0.0
医,yī,0.0,0.0
院,yuàn,0.0,0.0
早,zǎo,0.0,0.0
晚,wǎn,0.0,0.0
男,nán,0.0,0.0
习,xí,0.0,0.0
口,kǒu,0.0,0.0
穿,chuān,0.0,0.0
午,wǔ,0.0,0.0
认,rèn,0.0,0.0
识,shí,0.0,0.0
难,nán,0.0,0.0
球,qiú,0.0,0.0
九,jiǔ,0.0,0.0
妈,mā,0.0,0.0
汽,qì,0.0,0.0
跑,pǎo,0.0,0.0
动,dòng,0.0,0.0
儿,ér,0.0,0.0
远,yuǎn,0.0,0.0
帮,bāng,0.0,0.0
视,shì,0.0,0.0
师,shī,0.0,0.0
百,bǎi,0.0,0.0
半,bàn,0.0,0.0
干,gàn,0.0,0.0
体,tǐ,0.0,0.0
喝,hē,0.0,0.0
网,wǎng,0.0,0.0
字,zì,0.0,0.0
杯,bēi,0.0,0.0
飞,fēi,0.0,0.0
哪,nǎ,0.0,0.0
包,bāo,0.0,0.0
脑,nǎo,0.0,0.0
歌,gē,1.0,1.0
山,shān,0.0,0.0
热,rè,1.0,1.0
唱,chàng,0.0,0.0
名,míng,0.0,0.0
白,bái,0.0,0.0
病,bìng,0.0,0.0
票,piào,0.0,0.0
睡,shuì,0.0,0.0
房,fáng,0.0,0.0
明,míng,0.0,0.0
差,chà,0.0,0.0
风,fēng,0.0,0.0
马,mǎ,0.0,0.0
错,cuò,0.0,0.0
读,dú,0.0,0.0
答,dá,0.0,0.0
兴,xīng,0.0,0.0
试,shì,0.0,0.0
爸,bà,0.0,0.0
教,jiào,0.0,0.0
边,biān,0.0,0.0
谢,xiè,0.0,0.0
记,jì,0.0,0.0
班,bān,0.0,0.0
忙,máng,0.0,0.0
考,kǎo,0.0,0.0
南,nán,0.0,0.0
关,guān,0.0,0.0
同,tóng,0.0,0.0
衣,yī,0.0,0.0
服,fú,0.0,0.0
北,běi,0.0,0.0
菜,cài,0.0,0.0
床,chuáng,0.0,0.0
休,xiū,0.0,0.0
息,xī,0.0,0.0
冷,lěng,0.0,0.0
肉,ròu,0.0,0.0
零,líng,0.0,0.0
坏,huài,0.0,0.0
树,shù,0.0,0.0
饭,fàn,0.0,0.0
忘,wàng,0.0,0.0
气,qì,0.0,0.0
右,yòu,0.0,0.0
课,kè,0.0,0.0
洗,xǐ,0.0,0.0
左,zuǒ,0.0,0.0
累,lèi,0.0,0.0
毛,máo,0.0,0.0
姐,jiě,0.0,0.0
雨,yǔ,0.0,0.0
旁,páng,0.0,0.0
京,jīng,0.0,0.0
页,yè,0.0,0.0
贵,guì,0.0,0.0
面,miàn,0.0,0.0
哥,gē,0.0,0.0
茶,chá,1.0,1.0
慢,màn,0.0,0.0
星,xīng,0.0,0.0
期,qī,0.0,0.0
场,chǎng,0.0,0.0
妹,mèi,0.0,0.0
火,huǒ,0.0,0.0
弟,dì,0.0,0.0
净,jìng,0.0,0.0
奶,nǎi,0.0,0.0
饿,è,0.0,0.0
果,guǒ,0.0,0.0
图,tú,0.0,0.0
店,diàn,0.0,0.0
爷,yé,0.0,0.0
牛,niú,0.0,0.0
商,shāng,0.0,0.0
馆,guǎn,0.0,0.0
文,wén,0.0,0.0
桌,zhuō,0.0,0.0
鸡,jī,0.0,0.0
蛋,dàn,0.0,0.0
玩,wán,0.0,0.0
系,xì,0.0,0.0
假,jiǎ,0.0,0.0
语,yǔ,0.0,0.0
汉,hàn,0.0,0.0
客,kè,0.0,0.0
渴,kě,0.0,0.0
米,mǐ,0.0,0.0
条,tiáo,0.0,0.0
客,kè,0.0,0.0
渴,kě,0.0,0.0
米,mǐ,0.0,0.0
test,me,9.0,11.0
so,what,,
