Word,Definition
得,dé
吧,ba
话,huà
钱,qián
开,kāi
岁,suì
吃,chī
身,shēn
重,zhòng
爱,ài
国,guó
买,mǎi
号,hào
喜,xǐ
欢,huān
怎,zěn
分,fēn
谁,shuí
告,gào
诉,sù
样,yàng
方,fāng
十,shí
见,jiàn
六,liù
问,wèn
叫,jiào
回,huí
正,zhèng
快,kuài
住,zhù
请,qǐng
水,shuǐ
东,dōng
西,xī
听,tīng
老,lǎo
机,jī
电,diàn
行,xíng
朋,péng
友,yǒu
拿,ná
路,lù
外,wài
放,fàng
学,xué
校,xiào
别,bié
站,zhàn
准,zhǔn
备,bèi
元,yuán
进,jìn
写,xiě
先,xiān
您,nín
女,nǚ
生,shēng
门,mén
八,bā
七,qī
送,sòng
花,huā
第,dì
块,kuài
坐,zuò
影,yǐng
昨,zuó
笑,xiào
介,jiè
绍,shào
书,shū
少,shǎo
楼,lóu
医,yī
院,yuàn
早,zǎo
晚,wǎn
男,nán
习,xí
口,kǒu
穿,chuān
午,wǔ
认,rèn
识,shí
难,nán
球,qiú
九,jiǔ
妈,mā
汽,qì
跑,pǎo
动,dòng
儿,ér
远,yuǎn
帮,bāng
视,shì
师,shī
百,bǎi
半,bàn
干,gàn
体,tǐ
喝,hē
网,wǎng
字,zì
杯,bēi
飞,fēi
哪,nǎ
包,bāo
脑,nǎo
歌,gē
山,shān
热,rè
唱,chàng
名,míng
白,bái
病,bìng
票,piào
睡,shuì
房,fáng
明,míng
差,chà
风,fēng
马,mǎ
错,cuò
读,dú
答,dá
兴,xīng
试,shì
爸,bà
教,jiào
边,biān
谢,xiè
记,jì
班,bān
忙,máng
考,kǎo
南,nán
关,guān
同,tóng
衣,yī
服,fú
北,běi
菜,cài
床,chuáng
休,xiū
息,xī
冷,lěng
肉,ròu
零,líng
坏,huài
树,shù
饭,fàn
忘,wàng
气,qì
右,yòu
课,kè
洗,xǐ
左,zuǒ
累,lèi
毛,máo
姐,jiě
雨,yǔ
旁,páng
京,jīng
页,yè
贵,guì
面,miàn
哥,gē
茶,chá
慢,màn
星,xīng
期,qī
场,chǎng
妹,mèi
火,huǒ
弟,dì
净,jìng
奶,nǎi
饿,è
果,guǒ
图,tú
店,diàn
爷,yé
牛,niú
商,shāng
馆,guǎn
文,wén
桌,zhuō
鸡,jī
蛋,dàn
玩,wán
系,xì
假,jiǎ
语,yǔ
汉,hàn
客,kè
渴,kě
米,mǐ
条,tiáo
客,kè
渴,kě
米,mǐ
test, me
huh,wha
